Control Family,Control Code,Sub Control Code,Description,Assessment Objectives (Sub Controls),Recommendations,Applied OS
AC,AC.L2-3.1.1,AC.L2-3.1.1a,"limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",[a] authorized users are identified,,
AC,AC.L2-3.1.1,AC.L2-3.1.1b,"limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",[b] processes acting on behalf of authorized users are identified,,
AC,AC.L2-3.1.1,AC.L2-3.1.1c,"limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",[c] devices (and other systems) authorized to connect to the system are identified,,
AC,AC.L2-3.1.1,AC.L2-3.1.1d,"limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",[d] system access is limited to authorized users,,
AC,AC.L2-3.1.1,AC.L2-3.1.1e,"limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",[e] system access is limited to processes acting on behalf of authorized users,,
AC,AC.L2-3.1.1,AC.L2-3.1.1f,"limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)",[f] system access is limited to authorized devices (including other systems),,
AC,AC.L2-3.1.2,AC.L2-3.1.2a,limit system access to the types of transactions and functions that authorized users are permitted to execute. ,[a] the types of transactions and functions that authorized users are permitted to execute are defined,,
AC,AC.L2-3.1.2,AC.L2-3.1.2b,limit system access to the types of transactions and functions that authorized users are permitted to execute. ,[b] system access is limited to the defined types of transactions and functions for authorized users,,
AC,AC.L2-3.1.3,AC.L2-3.1.3a,Control the flow of CUI in accordance with approved authorizations.,[a] information flow control policies are defined,,
AC,AC.L2-3.1.3,AC.L2-3.1.3b,Control the flow of CUI in accordance with approved authorizations.,[b] methods and enforcement mechanisms for controlling the flow of CUI are defined,,
AC,AC.L2-3.1.3,AC.L2-3.1.3c,Control the flow of CUI in accordance with approved authorizations.,"[c] designated sources and destinations (e.g., networks, individuals, and devices) for CUI within the system and between interconnected systems are identified",,
AC,AC.L2-3.1.3,AC.L2-3.1.3d,Control the flow of CUI in accordance with approved authorizations.,[d] authorizations for controlling the flow of CUI are defined,,
AC,AC.L2-3.1.3,AC.L2-3.1.3e,Control the flow of CUI in accordance with approved authorizations.,[e] approved authorizations for controlling the flow of CUI are enforced,,
AC,AC.L2-3.1.4,AC.L2-3.1.4a,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,[a] the duties of individuals requiring separation are defined,,
AC,AC.L2-3.1.4,AC.L2-3.1.4b,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,[b] responsibilities for duties that require separation are assigned to separate individuals,,
AC,AC.L2-3.1.4,AC.L2-3.1.4c,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,[c] access privileges that enable individual ,,
